seed,n_cities,best_distance,time_sec
2,20,442.2888473800286,0.3467400074005127
3,20,386.42968948347004,0.5678391456604004
4,20,386.42968948347004,0.7881119251251221
5,20,386.42968948347004,0.8573892116546631
6,20,386.6266770171125,0.23090791702270508
7,20,386.4296894834701,0.5440819263458252
8,20,386.4296894834701,0.5075314044952393
9,20,386.42968948347004,0.2831404209136963
10,20,444.96906730764834,0.5008106231689453
11,20,386.42968948347,0.5631735324859619
12,20,386.42968948347004,0.36289215087890625
13,20,386.6266770171124,0.25971150398254395
14,20,386.42968948347004,0.3702411651611328
15,20,386.42968948347,0.3496856689453125
16,20,386.42968948347004,0.45752811431884766
17,20,448.4074740419457,0.3499186038970947
18,20,386.62667701711246,0.5489015579223633
19,20,386.42968948347,0.7984929084777832
20,20,386.62667701711257,0.4454202651977539
1,25,484.6010191471155,1.0611050128936768
2,25,462.70774312239985,1.6826112270355225
3,25,441.5993097381685,1.0449261665344238
4,25,407.8783903529767,1.722015142440796
5,25,432.0727877350159,1.8202621936798096
6,25,500.1752416421865,1.2687084674835205
7,25,461.458744903628,1.0897321701049805
8,25,481.0395249129705,0.9571328163146973
9,25,407.3075672752727,1.7570831775665283
10,25,454.8915560129723,1.388906478881836
11,25,476.9139826844966,0.9701592922210693
12,25,483.3083566801274,1.689396858215332
13,25,483.2409867479591,2.3544392585754395
14,25,407.3075672752727,1.994581699371338
15,25,495.0595884366188,1.0098891258239746
16,25,407.3075672752727,1.47520112991333
17,25,407.3075672752727,1.4597291946411133
18,25,519.3854247159601,1.3197219371795654
19,25,475.9736567018471,1.8001272678375244
20,25,407.8783903529767,1.5931074619293213
1,30,528.6568397329434,1.5508322715759277
2,30,451.76700078489864,1.9567883014678955
3,30,520.471827501006,1.0286922454833984
4,30,505.9413422672956,2.1303460597991943
5,30,529.1322215648239,1.896333932876587
6,30,503.8208956317467,1.7181479930877686
7,30,513.0256964579839,2.158067464828491
8,30,480.21385237415797,1.400374174118042
9,30,543.4689708269624,1.3952291011810303
10,30,575.4869013447094,1.0194635391235352
11,30,528.4339153299022,1.6885993480682373
12,30,536.9224206864224,1.7445261478424072
13,30,595.4418254112345,1.057225227355957
14,30,544.8769269052056,1.298464059829712
15,30,467.88843535667667,2.0262320041656494
16,30,482.7710399035834,1.7172701358795166
17,30,517.6383853083846,1.257066011428833
18,30,520.6970734251961,1.080787181854248
19,30,516.7590573105674,0.8835618495941162
20,30,563.2234779035244,1.2411830425262451
1,35,579.0922381004862,6.400741338729858
2,35,532.2665771907562,5.194083213806152
3,35,614.3562334390026,4.616845607757568
4,35,629.8481665206394,5.292195796966553
5,35,602.0386678432889,7.950737476348877
6,35,548.0072598893313,5.357418060302734
7,35,572.2978774454692,4.594092607498169
8,35,608.6710328368376,7.169106483459473
9,35,548.651097874539,3.140624523162842
10,35,547.6258593474637,5.937471866607666
11,35,614.4298696271566,4.168355703353882
12,35,578.8351864954336,4.463263034820557
13,35,531.0328946730152,3.488400459289551
14,35,574.3645686195607,5.308588027954102
15,35,730.5454546492315,4.887521505355835
16,35,517.6909901689502,7.6360931396484375
