seed,n_cities,best_distance,time_sec
2,20,416.20236922299097,3.3924598693847656
3,20,390.898658513993,3.334627389907837
4,20,407.43249398377094,3.520379066467285
5,20,410.9930106564994,3.065565347671509
6,20,388.3947455832924,3.238960027694702
7,20,405.58455506219195,3.048128843307495
8,20,395.9578404250311,3.0519611835479736
9,20,400.30386920976724,3.2287673950195312
10,20,390.8986585139931,3.3373188972473145
11,20,390.9028239118828,3.2223095893859863
12,20,408.1424765575555,3.582991600036621
13,20,386.62667701711257,3.8278229236602783
14,20,390.9028239118828,3.4970803260803223
15,20,393.25277456279815,3.250617265701294
16,20,390.90282391188276,3.509683609008789
17,20,413.99691987979054,3.254796028137207
18,20,390.898658513993,3.230149269104004
19,20,390.9028239118827,3.154268980026245
20,20,388.1977580496498,3.197446346282959
1,25,415.8963326224688,2.3058595657348633
2,25,410.6167344633717,2.2886672019958496
3,25,427.7283137360088,2.3113255500793457
4,25,426.6591760617323,2.255124568939209
5,25,410.03220165541086,2.2848947048187256
6,25,413.87305488540335,2.4205024242401123
7,25,415.8963326224688,2.5860235691070557
8,25,413.19126676023586,3.0536770820617676
9,25,419.65944253805105,2.361421585083008
10,25,427.2425817734911,2.475308656692505
11,25,427.7397982412391,2.264857292175293
12,25,410.0322016554109,2.248206853866577
13,25,429.63885264565386,2.239912986755371
14,25,410.6167344633717,2.237818956375122
15,25,410.6167344633717,2.246586322784424
16,25,410.5971659454665,2.2341108322143555
17,25,410.59716594546643,2.237934112548828
18,25,411.16798902317043,2.2267093658447266
19,25,410.5971659454665,2.2503905296325684
20,25,410.6167344633717,2.251281261444092
1,30,515.4704778629549,0.9922904968261719
2,30,493.157955354152,0.9231863021850586
3,30,485.12701950198675,0.9714539051055908
4,30,508.3049167397023,0.926037073135376
5,30,509.9675404845063,0.9777820110321045
6,30,466.6572898978857,0.9284636974334717
7,30,500.6119148407331,0.9882769584655762
8,30,488.7255105067171,0.930614709854126
9,30,505.45056232767377,0.9693055152893066
10,30,492.18484061889666,0.9344525337219238
11,30,482.5369808640346,0.9750494956970215
12,30,451.7670007848986,0.9212260246276855
